,dataset_id,pair_id,direction,delta_time
0,an,1,1,10.285003662109375
1,an,2,1,8.990851402282715
2,an,3,1,9.581423282623291
3,an,4,1,8.775606870651245
4,an,5,1,7.683301687240601
5,an,6,1,9.41461968421936
6,an,7,1,8.465430974960327
7,an,8,1,9.066004514694214
8,an,9,1,5.8013715744018555
9,an,10,1,5.9159345626831055
10,an,11,1,6.80093240737915
11,an,12,1,9.380294561386108
12,an,13,1,8.72822093963623
13,an,14,1,8.772409677505493
14,an,15,1,8.984483003616333
15,an,16,1,8.293538093566895
16,an,17,1,5.829294681549072
17,an,18,-1,5.81070876121521
18,an,19,1,7.028948068618774
19,an,20,1,6.049952745437622
20,an,21,1,6.530108213424683
21,an,22,1,5.798757314682007
22,an,23,1,5.80789589881897
23,an,24,1,5.780524253845215
24,an,25,1,5.785154581069946
25,an,26,1,6.415021181106567
26,an,27,1,5.789008855819702
27,an,28,1,5.8303139209747314
28,an,29,1,5.765232801437378
29,an,30,1,5.760658025741577
30,an,31,1,5.819032430648804
31,an,32,-1,10.425337076187134
32,an,33,1,7.74422025680542
33,an,34,1,10.119408130645752
34,an,35,1,8.85408329963684
35,an,36,1,8.05271291732788
36,an,37,-1,8.687201023101807
37,an,38,-1,8.540436267852783
38,an,39,1,7.167861461639404
39,an,40,1,7.7161195278167725
40,an,41,1,6.805438756942749
41,an,42,1,5.861418962478638
42,an,43,1,5.69796347618103
43,an,44,1,5.715707540512085
44,an,45,1,5.762739658355713
45,an,46,1,5.756760358810425
46,an,47,1,5.70000433921814
47,an,48,1,7.754695653915405
48,an,49,1,9.28270149230957
49,an,50,1,8.525221586227417
50,an,51,1,6.852454662322998
51,an,52,1,5.741880893707275
52,an,53,1,6.025817155838013
53,an,54,1,6.139385938644409
54,an,55,1,5.6382222175598145
55,an,56,1,7.795397520065308
56,an,57,1,7.200100421905518
57,an,58,1,5.443125009536743
58,an,59,1,7.7704222202301025
59,an,60,1,5.526388883590698
60,an,61,1,5.52977442741394
61,an,62,1,5.550135850906372
62,an,63,1,5.516139268875122
63,an,64,1,5.522552728652954
64,an,65,1,5.548444986343384
65,an,66,1,7.009026050567627
66,an,67,1,5.623179197311401
67,an,68,1,5.511554479598999
68,an,69,1,5.552612781524658
69,an,70,1,5.4862141609191895
70,an,71,1,5.9126129150390625
71,an,72,1,7.757910490036011
72,an,73,1,7.469626426696777
73,an,74,1,9.42971158027649
74,an,75,1,9.036041498184204
75,an,76,-1,9.421769380569458
76,an,77,1,8.725959539413452
77,an,78,1,9.08839726448059
78,an,79,1,9.277461051940918
79,an,80,1,8.370364904403687
80,an,81,1,8.944679975509644
81,an,82,1,8.614760160446167
82,an,83,1,6.22056245803833
83,an,84,1,6.4580237865448
84,an,85,1,5.648870229721069
85,an,86,1,5.681992769241333
86,an,87,-1,5.64498496055603
87,an,88,1,8.481838703155518
88,an,89,1,6.533382415771484
89,an,90,1,9.280330657958984
90,an,91,1,9.005616426467896
91,an,92,1,8.974025249481201
92,an,93,1,9.34410309791565
93,an,94,1,7.584843397140503
94,an,95,1,7.12339448928833
95,an,96,1,9.48771357536316
96,an,97,1,8.648136138916016
97,an,98,1,5.596831321716309
98,an,99,1,5.625036239624023
99,an,100,1,5.6782310009002686
100,ans,1,1,7.946005344390869
101,ans,2,-1,9.39211130142212
102,ans,3,1,8.760114431381226
103,ans,4,-1,7.728740692138672
104,ans,5,1,8.5570969581604
105,ans,6,1,7.685310363769531
106,ans,7,1,8.282200813293457
107,ans,8,1,9.379104852676392
108,ans,9,-1,9.286738634109497
109,ans,10,1,8.975709438323975
110,ans,11,1,8.773606300354004
111,ans,12,1,9.287330865859985
112,ans,13,1,8.53022813796997
113,ans,14,1,7.734477281570435
114,ans,15,1,5.498705863952637
115,ans,16,1,5.56415867805481
116,ans,17,1,5.348473310470581
117,ans,18,1,5.502477169036865
118,ans,19,-1,7.6542041301727295
119,ans,20,1,5.476091146469116
120,ans,21,1,6.8176281452178955
121,ans,22,1,6.527893543243408
122,ans,23,1,6.346512794494629
123,ans,24,1,7.911638975143433
124,ans,25,1,6.124545574188232
125,ans,26,1,6.3650689125061035
126,ans,27,1,8.208756923675537
127,ans,28,1,8.34335708618164
128,ans,29,1,8.94683289527893
129,ans,30,1,8.133471727371216
130,ans,31,1,9.17036485671997
131,ans,32,1,9.301022291183472
132,ans,33,-1,8.277630090713501
133,ans,34,1,8.935091972351074
134,ans,35,1,7.633163213729858
135,ans,36,-1,6.625535011291504
136,ans,37,-1,9.177555084228516
137,ans,38,1,6.994534254074097
138,ans,39,1,9.261971950531006
